image_name,cv_width,cv_height,cv_mean_L,cv_mean_a,cv_mean_b,cv_var_L,cv_var_a,cv_var_b
IMG_0814.jp2,3.0449,3.8953,73.2057,109.6496,149.1354,234.715,7.136,28.1326
IMG_0815.jp2,2.8764,3.8215,75.7174,108.9524,149.7844,230.2664,5.9263,21.0307
IMG_0816.jp2,2.9803,3.9829,70.3398,109.7719,148.3905,248.3467,6.4057,25.8297
IMG_0817.jp2,2.7802,3.9854,72.5833,109.7404,148.0418,314.9956,6.5999,26.9549
IMG_0818.jp2,2.948,3.6884,71.6857,110.1982,146.8963,230.8302,5.1837,23.0054
IMG_0819.jp2,2.9645,3.788,82.8821,108.5274,150.1853,308.42,8.8148,35.0201
IMG_0820.jp2,2.9428,3.8325,74.6456,109.866,148.4116,189.1191,5.1219,21.5572
IMG_0821.jp2,2.9621,3.7366,73.0233,110.5838,147.3234,223.0294,4.7484,21.542
IMG_0822.jp2,2.8096,3.7235,70.4293,109.1794,149.0589,241.8364,4.8956,23.1764
IMG_0823.jp2,2.9207,3.6749,84.0511,108.0629,152.6882,292.9857,8.629,35.0059
IMG_0824.jp2,2.7797,3.4984,81.686,108.6911,151.5606,283.686,8.4392,30.6874
IMG_0825.jp2,2.7194,3.6487,76.9741,108.2262,150.1104,263.8114,7.9709,33.1397
IMG_0826.jp2,3.0423,4.0428,69.8326,108.7876,149.6783,313.8999,6.5556,34.6954
IMG_0827.jp2,2.9223,3.869,76.3082,109.3867,149.5529,234.1479,5.502,25.6359
IMG_0828.jp2,3.0297,4.1264,76.8379,110.0765,150.1524,169.9009,4.6681,16.0742
IMG_0829.jp2,2.9474,4.2772,75.8225,108.7669,149.7985,245.9889,5.4872,31.4729
IMG_0830.jp2,3.0632,4.1846,69.622,108.9964,149.46,216.0941,4.9695,20.0921
IMG_0831.jp2,2.891,4.0311,72.5937,109.2886,149.327,216.4979,4.5133,26.5411
IMG_0833.jp2,3.1044,4.2121,74.3099,109.2295,149.3876,200.8329,5.5605,26.5071
IMG_0834.jp2,2.8573,4.0604,71.1641,109.2602,149.1077,349.8144,6.7825,33.1875
IMG_0835.jp2,2.9079,3.6725,74.8251,109.3428,149.0114,283.4853,7.7708,23.8228
